--¿ªÑôÓ¡£¨±©ÂÊ°æ£©
drops=
{
   { id=1228,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1229,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1230,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1231,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1232,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1233,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1234,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1235,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1236,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1237,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1238,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1239,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1240,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1241,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1242,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1243,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1244,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1245,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1246,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1247,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1248,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1249,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1217,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1218,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1219,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1220,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1221,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1222,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1223,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1224,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1225,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1226,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1227,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1206,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1207,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1208,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1209,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1210,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1211,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1212,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1213,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1214,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1215,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=1216,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=214,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=215,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=216,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=217,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=218,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=219,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=220,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=221,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=222,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=223,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=224,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=225,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=226,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=227,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=228,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=229,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=230,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=231,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=232,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=233,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=234,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=235,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=203,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=204,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=205,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=206,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
