--ÓñºâÓ¡£¨±©ÂÊ°æ£©
drops=
{
    { id=1143,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1144,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1145,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1146,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1147,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1148,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1149,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1150,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1151,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1152,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1153,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1154,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1155,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1156,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1157,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1158,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1159,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1160,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1161,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1162,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1163,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1164,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1132,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1133,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1134,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1135,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1136,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1137,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1138,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1139,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1140,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1141,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1142,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1121,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1122,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1123,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1124,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1125,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1126,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1127,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1128,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1129,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1130,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1131,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
