--è¯çáÓ¡£¨±©ÂÊ°æ£©
drops=
{
  { id=1058,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1059,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1060,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1061,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1062,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1063,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1064,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1065,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1066,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1067,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1068,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1069,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1070,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1071,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1072,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1073,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1074,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1075,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1076,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1077,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1078,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1079,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1047,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1048,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1049,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1050,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1051,count=1,strong =-6,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
