--系统提示的配置表，每一个引号括起来的表示一条系统提示，从0开始编号
--注意：每行提示语要严格按照一定的格式写："****** ",	--varname,	//中文注释 
--其中******是表示提示语,提示语不要出现半角的"这样的字符，可以用全角的“， varname是用于c++程序的常量名,后面加 ","， 另外--和逗号这些都是必须要有的
--另外：%s 和%d 这类的在前后要加空格，每句结尾也加个空格
--

System = 
{
"没有错误 ",				--tpNoError=0,			//没有错误
"技能配置错误 ",              --tpSkillConfigError,       //技能配置错误
"无法学习技能 ",              --tpSkillLearnError,       //无法学习技能
"无法升级技能 ",				--tpSkillTrainError,		//无法升级技能
"等级不足! ",				--tpSkillTrainLevelLimited,   //等级不够无法升级
"银两不足! ",				--tpSkillTrainCoinLimited,   //银两不够，无法升级
"铜钱不足! ",				--tpSkillTrainBindcoinLimited,   //绑定银两不够，无法升级
"经验不足! ",				--tpSkillTrainExpLimited,    //经验不够，无法升级
"职业不符合! ",				--tpSkillTrainVocationLimited, //职业不符合，无法升级
"已经是技能的最高等级了 ",				--tpSkillTrainHasLearned,  //已经升级了这个技能无需要升级
"生命值不够，无法释放 ",				--tpSkillSpellHpLimited,    //生命值不够，无法释放
"内力力不足，无法释放技能 ",				--tpSkillSpellMpLimited,   //蓝不够，无法释放技能
"身中不良状态，无法释放技能 ",				--tpSkillSpellBuffLimited,  //身上有指定的状态，无法释放技能
"没有学习该技能，无法释放 ",				--tpSkillSpellNotLeared,   //没有学习这个技能，无法使用技能
"没有学习该技能, 不能选择该技能的附加效果 ",--tpSkillNotLearedNotChoseAddtion,   //没有学习这个技能 不能选择该技能的附加效果
"该技能附加效果已经激活，请重新选择 ",		--tpSkillHasChose,   //没有学习这个技能，无法使用技能
"技能冷却中 ",				--tpSkillSellCDLimited,   //当前技能正在冷却中
"施放技能请先选择目标 ",				--tpSkillSpellNoTarget,  //请先选择施法对象或者施法点
"物品不足! ",				--tpSkillTrainItemLimited ,//物品不够，无法升级
"经验不足! ",				--tpSkillTrainXiuweiLimited ,//修为不够
"身上存在状态，无法使用技能 ",				--tpSkillTrainWithBuff ,//存在buff
"身上存在沉默或禁锢效果，无法使用技能 ",				--tpSkillSilenceImprisonBuff ,
"处于晕眩状态,不可施放该技能 ",				--tpSkillDizzyBuff ,
"处于封状态,不可施放该技能 ",				--tpSkillInnnerSkillForbidBuff ,
"处于断状态,不可施放该技能 ",				--tpSkillOutSkillForbidBuff ,
"身上不存在状态，无法使用技能 ",				--tpSkillTrainWithoutBuff ,//不存在buff
"目标的距离过远,无法攻击 ",				--tpSkillTrainDistance ,//和目标的距离
"和目标重叠，无法使用技能 ",				--tpSkillTrainOverLap ,//和目标的重合
"需要面向目标 ",				--tpSkillTrainFaceTarget, //需要面向目标
"需要在目标背后使用 ",				--tpSkillTrainOneDirTarget, //需要和目标的方向
"怒气值不够 ",				--tpAngerLimited, //
"自身的生命比率过高，不能使用技能 ",				--tpSkillTrainHpRateBelow,   //自身的血的百分比必须低于一定的值
"必须选择友方目标使用 ",				--tpSkillTrainFriendTarget , //必须需要友好目标
"必须选择敌对目标使用 ",				--tpSkillTrainEnemyTarget ,  //必须选择敌对目标
"该目标不能够攻击 ",				--tpSkillTrainCanAttackTarget ,  //该目标不能够攻击
"熟练度不够 ",				--tpSkillTrainEfficicyNotEnough ,  //生活技能的熟练度不够
"跳跃所需的轻功值不足 ",				--tpSkillTrainJumpPowerNotEnough, //体力不够，无法使用
"跳跃距离过远 ",				--tpSkillTrainJumpTooLong,  //跳跃距离太远
"阵营的职位不匹配，无法学习技能 ",				--tpSkillTrainCampTitleLimit,    //阵营的职位不满足，无法学习技能
"目标的纵向距离过远,无法攻击 ",				--tpSkillTrainYDistance,         //与目标的纵向距离过远
"您成功地学会了技能  %s   ",				--tpSkillLearnSucceed,   //"您成功地学会了技能  %s   ",
"您成功地将技能 %s 提升到 %d 级 ",				--tpSkillLevelUp,		//"您成功地将技能 %s 提升到 %d 级 ",
" %s 给[ %s ] %d 点精神伤害 ",				--tpSkillInnerDamage,  //技能 %s 对 %s 造成了 %d 点内功攻击
" %s 给[ %s ] %d 点外功伤害 ",				--tpSkillOutDamage,    //技能 %s 对 %s 造成了 %d 点外功攻击
"[ %s ]使用 %s 对我造成了 %d 点精神伤害 ",				--tpSkillGiveSelfInnerDamage, // %s 的技能 %s 对我造成了 %d 点内功伤害
"[ %s ]使用 %s 对我造成了 %d 点外功伤害 ",				--tpSkillGiveSelfOutDamage, // %s 的技能 %s 对我造成了 %d 点外功伤害
"普通攻击 ",				--tpNearAttackSkillName,  //普通攻击
"你打败了[ %s ] ",				--tpSkillKillEntity,  //你打败了  %s  
"你在战斗中被[ %s ]击败 ",				--tpBeSkilled,       //"你在战斗中被[ %s ]击败 ",
" %s 技能无法配置该秘籍 ",				--tpSkillMijiNotMatch, // %s 技能无法配置该秘籍
"需要将技能提升到 %d 级才能使用这个秘籍 ",				--tpSkillMijiLevelLimit, //需要将技能提升到 %d 级才能使用这个秘籍
"已经学习了另外一个秘籍，请先移除该秘籍 ",				--tpSkillMijiHasLearn,  //已经学习了另外一个秘籍，请先移除该秘籍
" %s 技能成功配置了秘籍  %s   ",				--tpSkillMijiLearnSucceed, //成功学习了一个秘籍
"技能 %s 无法使用了 ",				--tpSkillForgetSkill,    //技能[ %s ]已经不能使用
"获得经验 %d",				--tpSkillGetExp,         //获得经验 %d 点
",额外加成 %d",				--tpSkillGetMultiplyExp, //获得经验 %d 点，其中 %d 点为多倍经验
",衰减 %d ",				--tpSkillGetSubExp ,     //获得经验 %d ，因每日经验上限衰减了 %d 点,实际获得 %d 点
" %d 点经验存入经验封存宝盒。 ",				--tpSkillAbsortExp,      //吸收经验 %d 点
"您的经验封存宝盒已经充满经验！ ",				--tpExpPotIsFull,       //您的经验封存宝盒已经充满经验！
"已经是最高等级了 ",				--tpSkillIsUpMostLevel , //已经是最高级了
"该技能无法释放 ",				--tpSkillCannotSpell, //技能无法使用
"必杀技技能没开放 ",				--tpUniqueSkillNotOpen, 
"吟唱技能使用失败 ",				--tpSkillSingParamError, //吟唱技能的参数不一致
"非常抱歉，这个任务不能中途放弃！ ",				--tpQuestNotGiveUp,	//任务不能放弃
"你已经放弃了本任务！ ",				--tpGiveUpSucc,		//任务放弃成功
"你已经成功完成了任务：  %s   ",				--tpQuestFinishSucc,	//任务完成成功
"你无法领取奖励，请检查背包  ",				--tpQuestFullBag,		//你无法领取奖励，请检查背包
"任务   %s   无法自动完成，请检查背包是否已满 ",				--tpQuestAutoFinishErr,	//"任务   %s   无法自动完成，请检查背包是否已满,重新登录即可自动完成 ",
"剩下： ",				--tpQuestRemain,      //剩下：
"你已被禁言 ",				--tpChatPlayerBeShutup,	// 你已被禁言
"对方已经离线 ",				--tpChatTargetOffLine, //目标已经离线
"查看的装备已经过期，无法查看 ",				--tpChatEquipIsDelete,  //查看的装备已经被删除了
"物品配置错误 ",				--tpItemConfigError,     //物品配置错误
"物品不存在 ",				--tpItemNotExist,   //要穿戴的物品不存在
"物品无法穿戴 ",				--tpItemCannotTakeOn,   //物品不能穿戴
"因无法取下当前位置的装备，无法装备 ",				--tpItemCannotTakeoff,   //因无法取下当前位置的装备，无法装备
"背包已满，无法取下装备 ",				--tpItemTakeoffFailForBagFull,   //背包已满，无法取下物品的消息
"等级不够，无法使用 ",				--tpItemCannotTakeOnForLevel, //等级不够，无法装备
"性别不符，无法装备 ",				--tpItemCannotTakeOnForSex, //性别不符，无法装备
"职业不符，无法装备 ",				--tpItemCannotTakeOnForVocation, //职业不符，无法装备
"扩展背包失败，需要花费 %d %s ",				--tpItemMoneyNotEnoughEnlargeBag, //扩展背包失败，费用不足
"成功将背包扩大 %d 格 ",				--tpItemEnlargeSucceed,      //成功将背包扩大 %d 格
"背包已经扩展到最大，不能扩展了 ",				--tpItemBagTooBig, //背包已经足够大，不能扩展
"扩展 %d 格背包需要花费 %d  %s，是否愿意 ？  ",				--tpItemNotifyEnlargeMoney, //扩展 %d 格背包需要花费 %d 元宝，是否愿意？
"物品拆分失败 ",				--tpItemSplitBagFail , //背包物品拆分失败
"该物品无法合并 ",				--tpItemMergeFail , //背包物品合并失败
"你正在交易中，无法整理背包 ",		--tpBagSortInDeal,
"你的背包已满，无法获得任务物品！ ",				--tpBagFullQuest,		//背包已满影响任务接收
"生命已到上限,使用物品无法补充更多的生命 ",				--tpHpIsFull,      //"生命已到上限,不需要使用物品补充 ",
"内力已到上限,使用物品无法补充更多的内力 ",				--tpMpIsFull,     //"法力已到上限,不需要使用物品补充 ",
"活力已到上限,使用物品无法补充更多的活力 ",				--tpEnergyIsFull,  //"活力已到上限,不需要使用物品补充 ",
"您所储存的血量已达上限。 ",				--tpHpStoreIsFull,  //"活力已到上限,不需要使用物品补充 ",
"您所储存的内力已达上限。",					--tpMpStoreIsFull,
"修为已经到了上限,不需要使用物品补充 ",				--tpXiuweiIsFull,  //修为已经到了上限,不需要使用物品补充"
"杀戮值已经不能再清除 ",				--tpPkValueIsEmpty,  //杀戮值无需要减
"获得[##textbutton,#c2cab0a%s##]× %d  ",				--tpItemBagGetItem,  //背包里获得物品获得 %d 件[ %s ]
"失去[##textbutton,#c2cab0a%s##]× %d  ",				--tpItemBagLostItem, //失去[ %d ]个[ %s ]
