Talk ={

a1="赤羽这个小娃娃不懂事，去帮我一顿！",f1="我打完了",c1="",r1="",s1="",t1="",
a2="我是娜扎还是苏茉！",f2="我还是赶紧走吧",c2="",r2="",s2="",t2="",
a3="打怪去吧，别BB了哦，好",f3="打完了么?还挺厉害啊恩，是挺厉害",c3="",r3="",s3="",t3="",
a4="我是老头还是青丘使臣你是使臣啊不对我是老头",f4="这老头是不是傻我还是赶紧走吧",c4="",r4="",s4="",t4="",
a5="打怪去吧，别站着了哦，好",f5="打完了么?还挺厉害啊恩，是挺厉害",c5="",r5="",s5="",t5="",
a6="我是帅哥还是店小二你是店小二啊不对我是帅哥",f6="这小伙是不是糊涂了我还是赶紧走吧",c6="",r6="",s6="",t6="",
a7="网购的蔓越莓挺好吃的。然后呢？帮我送一个给我翰。",f7="才送一个，小气！并非小气，而是肾虚者慎食。",c7="",r7="",s7="",t7="",
a8="桃花坳天才小厨神要做冰糖刺梨，去给我采集回来。哦，好",f8="谢谢！不客气！",c8="",r8="",s8="",t8="",


a9="这些人无耻暗算，我受伤不轻，你可否帮我采些草药来？",f9="呼……这下好多了……",c9="",r9="",s9="",t9="",
a10="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",f10="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",c10="",r10="",s10="",t10="",
a11="那些强盗沿途安排了守卫，你一波一波守卫打过去，肯定能找到他们的踪迹！",f11="什么人！",c11="",r11="",s11="",t11="",
a12="居然有个不怕死的？也好，把头伸过来，我给你看个宝贝！",f12="纳尼？没想到他们居然拦不住你？真是废物！",c12="",r12="",s12="",t12="",
a13="到此为止了小子！爆发吧山贼的小宇宙！！！",f13="呔！大胆狂徒，竟敢冲撞我山贼大人，活腻了吗？",c13="",r13="",s13="",t13="",
a14="原来你是为那批军饷而来，既然如此，就凭本事来拿吧！",f14="好身手，不愧是我大汉儿郎。",c14="",r14="",s14="",t14="",
a15="军情紧急，从前方吊桥可以入城，速速出发吧！",f15="山贼溃逃了？真是太好了……唉，都怪城中战事紧急，才被山贼有机可乘。",c15="",r15="",s15="",t15="",
a16="不好！敌人杀上城楼了！快去帮忙！",f16="前有外族，后有羌兵，唉……真是内忧外患。",c16="",r16="",s16="",t16="",
a17="如今情势严峻，你要出城恐怕不太顺利，不如一起先将这些外族击退？",f17="匪患猖獗！无法无天！真当我大汉无人不成！！！",c17="",r17="",s17="",t17="",
a18="我看你身手不错，可敢上阵杀敌，给这些外族留点永生难忘的教训？",f18="多谢援手！",c18="",r18="",s18="",t18="",
a19="我们的兵士正在城下苦战，你去帮帮他们吧。",f19="好样的少年，让我们并肩作战吧！",c19="",r19="",s19="",t19="",
a20="外族人多示众，使用技能攻击可以更快速消灭他们。",f20="你学会了？很好，你要记住，招数是死的，人是活的，灵活运用方能克敌制胜。",c20="",r20="",s20="",t20="",
a21="那帮外族又杀来了，你去试试手吧！",f21="对方人多势众，更兼地利优势，只可智取不可力敌。",c21="",r21="",s21="",t21="",
a22="俗话说擒贼先擒王，你若能直入中军，取了那敌将首级，外族将不战自溃。",f22="什么？！竟然一个人就杀溃了我的儿郎们……大汉什么时候出了这样一个年轻高手？",c22="",r22="",s22="",t22="",
a23="桀桀桀桀，你再能打，不过是匹夫之勇，直入我中军，你这是自寻死路！",f23="贼寇伏诛，剩下皆是残兵败将，不足为惧，这次真是多亏你了！",c23="",r23="",s23="",t23="",
a24="如今外族残兵劫持妇孺躲入了郡守府中，时间一长的话，只怕他们狗急跳墙……",f24="小英雄，多谢你救了我妹妹，如今我来助你！",c24="",r24="",s24="",t24="",
a25="如今外族负隅顽抗，你可敢跟我一同去闯闯那龙潭虎穴？",f25="你们竟然有胆子追来，未免太小看我们了，实在不能忍！",c25="",r25="",s25="",t25="",
a26="我帐中正缺一个称手的酒杯，我看你的头颅不错，拿来做酒杯正合适！",f26="没想到……竟会败给你们……",c26="",r26="",s26="",t26="",
a27="中原能人异士果然层出不穷，这回我们认栽，下次再见，就是你的死期！",f27="好小子，你果然没有辜负我的期望！！",c27="",r27="",s27="",t27="",
a28="如今塞外越来越乱，西域各族蠢蠢欲动，看来又是一个多事之秋啊……",f28="我得到密报，南匈安与白戎族即将开战，我先去白戎祖地，你去雁门关替我将此事告知兄弟们吧。",c28="",r28="",s28="",t28="",
a29="雁门关关山路迢，徒步前去可不行，那边有个马厩，你去牵匹马来。",f29="好马！此马不仅血脉纯正，若是精心培养还能进阶，潜力无穷！",c29="",r29="",s29="",t29="",
a30="如今驯马之术你已学会，军情紧急，去吧，一路小心！",f30="雁门关乃兵家重地，你们来此做甚？",c30="",r30="",s30="",t30="",

a31="",f31="大风起兮云飞扬，安得猛士兮守四方！",c31="",r31="",s31="",t31="",
a32="军医就在前方，你去找他聊聊。",f32="我与你一见如故，小小礼物不成敬意，请笑纳吧。",c32="",r32="",s32="",t32="",
a33="这些山贼到处扰民，实在可恨，你能赶走他们吗？",f33="多亏你及时赶到，否则后果真是不堪设想……",c33="",r33="",s33="",t33="",
a34="来帮忙的小伙子膝盖中了一箭，你去帮帮他吧。",f34="嘶……疼疼疼……你快去帮我拿些止血药来！",c34="",r34="",s34="",t34="",
